resource_id,name,role,start,end,location,remote_supported
specialist_01,Dr Miriam Tan,primary_care_physician,2026-04-07T09:00:00,2026-04-07T13:00:00,clinic,true
specialist_01,Dr Miriam Tan,primary_care_physician,2026-04-14T09:00:00,2026-04-14T13:00:00,clinic,true
specialist_01,Dr Miriam Tan,primary_care_physician,2026-04-21T09:00:00,2026-04-21T13:00:00,clinic,true
specialist_01,Dr Miriam Tan,primary_care_physician,2026-04-28T09:00:00,2026-04-28T13:00:00,clinic,true
specialist_01,Dr Miriam Tan,primary_care_physician,2026-05-05T09:00:00,2026-05-05T13:00:00,clinic,true
specialist_01,Dr Miriam Tan,primary_care_physician,2026-05-12T09:00:00,2026-05-12T13:00:00,clinic,true
specialist_01,Dr Miriam Tan,primary_care_physician,2026-05-26T09:00:00,2026-05-26T13:00:00,clinic,true
specialist_01,Dr Miriam Tan,primary_care_physician,2026-06-02T09:00:00,2026-06-02T13:00:00,clinic,true
specialist_01,Dr Miriam Tan,primary_care_physician,2026-06-09T09:00:00,2026-06-09T13:00:00,clinic,true
specialist_01,Dr Miriam Tan,primary_care_physician,2026-06-16T09:00:00,2026-06-16T13:00:00,clinic,true
specialist_01,Dr Miriam Tan,primary_care_physician,2026-06-23T09:00:00,2026-06-23T13:00:00,clinic,true
specialist_01,Dr Miriam Tan,primary_care_physician,2026-06-30T09:00:00,2026-06-30T13:00:00,clinic,true
specialist_02,Dr Daniel Lim,endocrinologist,2026-04-01T14:00:00,2026-04-01T18:00:00,clinic,true
specialist_02,Dr Daniel Lim,endocrinologist,2026-04-08T14:00:00,2026-04-08T18:00:00,clinic,true
specialist_02,Dr Daniel Lim,endocrinologist,2026-04-15T14:00:00,2026-04-15T18:00:00,clinic,true
specialist_02,Dr Daniel Lim,endocrinologist,2026-04-22T14:00:00,2026-04-22T18:00:00,clinic,true
specialist_02,Dr Daniel Lim,endocrinologist,2026-04-29T14:00:00,2026-04-29T18:00:00,clinic,true
